Account,اکاؤنٹ,
Account Head,اکاؤنٹ ہیڈ,
Accounts Manager,اکاؤنٹس منیجر,
Accounts User,صارف اکاؤنٹس,
Add/Edit Coupon Conditions,کوپن کی شرائط شامل / ترمیم کریں,
Administrator,ایڈمنسٹریٹر,
Amended From,سے ترمیم شدہ,
Amount,رقم,
Applied,اطلاقی,
Apply On,پر لگائیں,
Apply Rule On Brand,برانڈ پر رول لگائیں۔,
Apply Rule On Item Code,آئٹم کوڈ پر قاعدہ کا اطلاق کریں۔,
Apply Rule On Item Group,آئٹم گروپ پر رول کا اطلاق کریں۔,
Brand,برانڈ,
Campaign,مہم,
Cancelled,منسوخ,
Cashier,کیشیر,
Closed,بند,
Closing Amount,رقم کا خاتمہ,
Company,کمپنی,
Cost Center,لاگت مرکز,
Coupon Code,کوپن کوڈ,
Coupon Code Based,کوپن کوڈ پر مبنی,
Coupon Description,کوپن کی تفصیل,
Coupon Name,کوپن کا نام,
Coupon Type,کوپن کی قسم,
Credit Note,کریڈٹ نوٹ,
Currency,کرنسی,
Customer,کسٹمر,
Customer Group,گاہک گروپ,
Customer Name,گاہک کا نام,
Customer is required,کسٹمر کی ضرورت ہے,
Date,تاریخ,
Default Currency,پہلے سے طے شدہ کرنسی,
Description,تفصیل,
Details,تفصیلات,
Difference,فرق,
Disable,غیر فعال کریں,
Disabled,معذور,
Discount Amount,ڈسکاؤنٹ رقم,
Discount Percentage,ڈسکاؤنٹ فی صد,
Discount Type,ڈسکاؤنٹ کی قسم,
Draft,ڈرافٹ,
Email ID,ای میل کا پتہ,
Expected Amount,متوقع رقم,
Expense,اخراجات,
Expense Account,ایکسپینس اکاؤنٹ,
Failed,ناکام,
First Name,نام,
Full Name,پورا نام,
Gift Card,تحفہ والا کارڈ,
Grand Total,مجموعی عدد,
Invalid Opening Entry,غلط افتتاحی اندراج,
Invalid Period,غلط مدت,
Invoice Number,انوائس تعداد,
Item Code,آئٹم کوڈ,
Item Group,آئٹم گروپ,
Item Price,شے کی قیمت,
Items,اشیا,
Journal Entry,جرنل اندراج,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
Last Name,آخری نام,
Linked Invoices,منسلک انوائس,
Loyalty Points,وفادار پوائنٹس,
Max Amount,زیادہ سے زیادہ رقم,
Maximum Use,زیادہ سے زیادہ استعمال,
Middle Name,درمیانی نام,
Min Amount,کم سے کم رقم۔,
Mode Of Payment,ادائیگی کا موڈ,
Mode of Payment,ادائیگی کا موڈ,
Mode of Payments,ادائیگی کے موڈ,
Modes of Payment,ادائیگی کے طریقوں,
Mpesa Settings,مائپسا کی ترتیبات,
Net Total,نیٹ کل,
Open,کھولیں,
Opening Amount,افتتاحی رقم,
Opening Balance Details,بیلنس کی تفصیلات کھولنا,
POS Profile,پی او ایس پروفائل,
POS Profile {} does not belongs to company {},POS پروفائل {company کمپنی سے تعلق نہیں رکھتا ہے {},
POS Transactions,POS لین دین,
Payment Entry,ادائیگی انٹری,
Payment Reconciliation,ادائیگی مصالحتی,
Payment Request for {0},{0} کے لئے ادائیگی کی درخواست,
Payment amount cannot be less than or equal to 0,ادائیگی کی رقم 0 سے کم یا اس کے برابر نہیں ہوسکتی ہے,
Pending,زیر غور,
Period End Date,مدت ختم ہونے کی تاریخ,
Period Start Date,مدت کی تاریخ شروع,
Please enter the phone number first,براہ کرم پہلے فون نمبر درج کریں,
Please select the customer.,براہ کرم گاہک کو منتخب کریں۔,
Posting Date,پوسٹنگ کی تاریخ,
Posting Time,پوسٹنگ وقت,
Prefix,اپسرگ,
Price,قیمت,
Print Format,پرنٹ کی شکل,
Product Discount Scheme,پروڈکٹ ڈسکاؤنٹ اسکیم,
Promotional,پروموشنل,
Rate,شرح,
Referral Code,حوالہ کوڈ,
Reload,دوبارہ,
Remarks,ریمارکس,
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches",صف # {0}: بیچ {1} صرف {2} قی ہے. ایک اور بیچ دستیاب ہے جس {3} قی منتخب کریں یا / مسئلہ ایک سے زیادہ بیچوں سے فراہم کرنے کے لئے، ایک سے زیادہ قطاروں میں صف تقسیم مہربانی,
Sales Invoice,فروخت انوائس,
Sales Manager,منتظم سامان فروخت,
Sales Master Manager,سیلز ماسٹر مینیجر,
Sales Person,فروخت کار,
Sales Summary,سیلز خلاصہ,
Sales User,سیلز صارف,
Session Defaults,سیشن ڈیفالٹس,
Set Posting Date,پوسٹنگ کی تاریخ طے کریں,
Shipping Account,شپنگ اکاؤنٹ,
"Sorry, this coupon code is no longer valid",معذرت ، اب کوپن کا یہ کوڈ درست نہیں ہے,
"Sorry, this coupon code's validity has expired",معذرت ، اس کوپن کوڈ کی توثیق ختم ہوگئی ہے,
"Sorry, this coupon code's validity has not started",معذرت ، اس کوپن کوڈ کی صداقت شروع نہیں ہوئی ہے,
Status,سٹیٹس,
Status must be one of {0},سٹیٹس سے ایک ہونا ضروری {0},
Success,کامیابی,
System Manager,سسٹم مینیجر,
Taxes,ٹیکسز,
Till Number,نمبر تک,
Title,عنوان,
Total Quantity,کل مقدار,
Transaction,ٹرانزیکشن,
Transaction Type,ٹرانزیکشن کی قسم,
Type,قسم,
Used,استعمال کیا جاتا ہے,
User,صارف,
Valid From,سے درست,
Valid Upto,درست,
Validity and Usage,درستگی اور استعمال,
View Website,سائٹ,
Warehouse,گودام,
Website Manager,ویب سائٹ کے مینیجر,
Weight,وزن,
